Model_ID,Case_Name,Ai_brief,Human_brief,facts_score,issue_score,decision_score,hallucination_score
ANTHROPIC.claude-3-opus-latest,Dobson v Dobson,"{""facts"":"""",""ratio"":"""",""decision"":""""} I don't know","facts: Cynthia Dobson was a pregnant woman.  While in the 27th week of pregnancy she was driving her car when her negligent actions caused a car accident.  The fetus was permanently injured, and was born prematurely that day.  Her son, Ryan Dobson, suffered physical and mental injuries, including cerebral palsy.  His grandfather launched a tort claim for damages against his mother.  Ryan was successful at the Court of Appeal, which his mother appealed.
issue: Should a mother be liable in tort for damages to her child arising from a prenatal negligent act that allegedly injured the fetus in her womb?
decision: Appeal allowed.
reasons: Cory, writing for the majority, finds that the mother should not be held liable in the situation because of the policy implications.  They employ the
Kamloops
test to determine if a duty of care should be owed.  It has two parts:
Is the relationship between the two parties close enough to create a reasonable duty?
Are there any public policy implications that should negate or limit the scope of the duty?
They find that the first part is satisfied; however the public policy implications negate the duty.  They state that there are two main reasons for this: it would violate the privacy and autonomy of women, and it is impossible to judicially define a reasonable standard of conduct for pregnant women.
McLachlin, in a concurring judgment, states that another main reason why this duty cannot be imposed is that it would violate pregnant women's rights under the
Charter
– specifically liberty and equality.  They would lose their liberty, and not be treated equally with other women in society.
Major, in the dissent, states that in order for the public policy implications to negate the duty they must add new restrictions on what the woman can do.  He says that this is not the case, because she had a duty of care to everyone else on the road, and extending that to the foetus would not change the reasonable standard of her conduct.  He says that this case deals specifically with pregnant women driving automobiles, and if the creation of duty imposed a limitation on her actions that was not there previously then the outcome would be different.  He uses the example with another pregnant woman in the car – if the same outcome occurred, then there is no question that the other woman's foetus could sue her for negligence.  He agrees that the
Kamloops
test applies, but says that the policy implications here do not negate the duty.
ratio: Pregnant women do not owe a duty of care to the foetus in their womb.
The test to determine if a duty of care is owed has two parts:
Is the relationship close enough to create a reasonable duty?
Are there public policy grounds to negate or limit the scope of the duty?
Is the relationship close enough to create a reasonable duty?
Are there public policy grounds to negate or limit the scope of the duty?",1,10,10,1
GEMINI.gemini-1.5-flash,Calder et al. v British Columbia (Attorney General),"```json {   ""facts"": ""The appellants, Calder et al., were members of several First Nations in British Columbia. They claimed Aboriginal title to a significant area of land in British Columbia.  The Government of British Columbia argued that Aboriginal title had been extinguished prior to the Royal Proclamation of 1763."",   ""ratio"": ""The Supreme Court of Canada held that Aboriginal peoples in Canada possess Aboriginal title, which is a sui generis right.  This title is not extinguished unless there is clear and plain intention of the Crown to do so.  The Court found that the evidence did not demonstrate clear and plain intention to extinguish the Aboriginal title in this case."",   ""decision"": ""The appeal was allowed. The Court declared that Aboriginal title existed, but remitted the case to the lower court to determine the precise extent of the title and whether it had been extinguished."" } ``` ","facts: The appellants are representative of the Nishga Tribe of British Columbia.  They claim that the aboriginal title over a piece of land in British Columbia that had been present before Confederation had never been extinguished, and that the tribe therefore still had title to the land.  This claim was denied at trial and upheld at appeal.
issue: Do the alleged aboriginal land claims exist?
If the claims exist, were they extinguished?
decision: Appeal dismissed.
reasons: At trial and upon initial appeal the courts decided that if there ever was aboriginal title, it was surely extinguished upon confederation.  The Supreme Court holds that aboriginal title definitely exists, however they were split over whether or not it had been extinguished.  The majority decided that it has been extinguished by virtue of the government's exercise of control over the lands, and therefore the appeal is dismissed.  However, the dissenting judges disagree and state that more must be present to prove that the lands were extinguished.  They say that the provincial government did not have any constitutional right to deal with the land of the aboriginals, and that their predecessors before confederation did not do anything that could amount to extinguishing the lands.
ratio: Recognition of aboriginal title.
Aboriginal land claims are extinguished once government exercises control over the lands.",8,9,7,0
GEMINI.gemini-1.5-flash,E. (Mrs.) v Eve,I don't know ,"facts: Eve was a 24 year-old mentally disabled woman living in PEI with a condition that made it very difficult for her to communicate with others.  She was sent away from her mother, who cared for her, during the week so that she could attend a special school.  Her mother was seeking the court's permission to perform a sterilization procedure (hysterectomy) on her daughter.  There was considerable evidence that the daughter would be incapable of handling the burdens of motherhood.  Eve had struck up a friendship with a boy from school, and discussed marriage, and her mother is afraid of the burden that would be placed on Eve, and ultimately upon herself to look after a child if pregnancy ensued.  Permission was denied at trial, but granted at the Court of Appeal.
issue: Can a caregiver for someone incapable of giving informed consent make decisions about surgeries for the incapable individual?
decision: Appeal allowed.
reasons: La Forest, writing for a unanimous court, discusses the history of
parens patriae
jurisdiction, which states that the state is responsible for decisions concerning those that cannot give informed consent themselves. He says that the test is generally that the only procedures that will be allowed are ones that are in the ""best interests"" of the protected person. He focuses his criticism in this case on the fact that Mrs. E. is claiming that the burden on her to look after the child should be considered in making the decision. La Forest states that this should be given no consideration, as it is only the best interests of the protected person that are of concern.
He also says that arguing about the protected person's fitness as a parents involves value-loaded questions that result in a designation of disabled persons as less competent parents, even though there is significant evidence showing that they show as much fondness and concern for their children as anyone else. He also considers that the procedure of a hysterectomy is serious surgery and quite invasive, and further that Eve does not require assistance caring for her reproductive cycle, which is a concern in other cases. Perhaps most importantly, this surgery is not therapeutic.
La Forest concludes that ""the grave intrusion on a person’s rights and the certain physical damage that ensues from non-therapeutic sterilization without consent, when compared to the highly questionable advantages that can result, [show that] it can never safely be determined that such a procedure is for the benefit of the person."" The procedure should never be authorized for non-therapeutic purposes under the
parens patriae
jurisdiction.
ratio: Non-therapeutic surgeries can never be determined to be for the benefit of a person who is incapable of giving informed consent.
It is only the best interests of the disabled person concerned that are of importance; concerns of others should not be considered.",10,10,10,0
GEMINI.gemini-1.5-flash,British Columbia v British Columbia Government Service Employees' Union (Re Meiorin),"```json {   ""facts"": ""The respondent, a female firefighter, was dismissed for failing a fitness test.  The test involved carrying 45.4 kg for one minute, and she failed due to a knee injury.  The test was applied equally to all firefighters, but the Court found it did not accommodate the different capabilities of female firefighters."",   ""ratio"": ""An employer's potentially discriminatory employment standard will be justifiable only if it is rationally connected to the performance of the job; it is adopted in good faith in the belief that it is necessary to fulfill a legitimate work-related purpose; and it is reasonably necessary to the accomplishment of that legitimate work-related purpose.  A standard that is demonstrably impossible for some women to meet will fail this test even if it is met by the vast majority of men."",   ""decision"": ""The British Columbia Court of Appeal held that the fitness test was discriminatory against female firefighters, and the dismissal was unjustified. The test was not reasonably necessary to the accomplishment of the legitimate work-related purpose of ensuring firefighter fitness."" } ``` ","facts: 
issue: 
decision: 
reasons: 
ratio: ",9,1,9,0
GEMINI.gemini-1.5-flash,DBS v SRG; LJW v TAR; Henry v Henry; Hiemstra v Hiemstra,I don't know ,"facts: Parents had three children in the course of their ten year common law relationship.  The father had sole interim custody after separation but then the parties entered into an informal shared custody arrangement where neither party paid support.  Three years later the mother brought an action in Alberta for retroactive and ongoing support.  The chambers judge awarded her prospective support but not retroactive.  The Court of Appeal allowed her appeal, but found no blameworthy conduct or willful failure to disclose on the part of the father.
Three children were born in the course of a common law relationship. After separation the children lived with the mother, and some months later the father paid $150 in child support pursuant to a maintenance agreement which was increased to $300/month following a consent order.  The mother brought an action for retroactive support.  The father had low income and high access costs and resisted the action.  The chambers judge held retroactive support would constitute hardship.
Parents married in 1984 and divorced in 1991. After separation the two children lived with their mother and a divorce judgment ordered the father to pay $700/month in child support.  In 2000 the mother signaled an intention to request increased support.  The father voluntarily increased his payments, but still below the table amount.  The mother was unaware that his income had increased dramatically as they lived in different cities.  At chambers, the judge granted her application for retroactive support based on the table amount, which was upheld by the Court of Appeal in a 2-1 judgment.
Parents divorced in 1996.  The children lived with the father, then one of the children moved to lived with the mother.  The father had a lot more income and the mother asked for an increase of support but the father rejected the request.  The mother was hesitant to take the case to court because earlier proceedings had caused a rift between the mother and children.  The chambers judge held that this was an appropriate circumstance for a retroactive award, and he calculated it from January 1, 2003 onward, to be paid in the amount of $500/month, as a ""reasonable compromise"" that best fit the situation of the parties.  The Court of Appeal upheld the decision.
All of these proceedings were merged before the Supreme Court.
issue: Who is entitled to retroactive child support?
decision: The appeals in
DBS
and
TAR
should be allowed and the decisions of the chambers judges restored.  The appeals in
Henry
and
Hiemstra
should be dismissed.
reasons: Justice Bastarache, writing for the majority, held that children are entitled to child support from both parents commensurate with their income.  To prevent liability for retroactive support, any changes in income should be reported to the custodial parent.  If this is not done and an application is brought to enforce a change, four factors should be analysed to see if retroactive support is warranted:
Undue delay: does the recipient have a reasonable excuse for not seeking support earlier?
Any voluntary, intentional choice not to apply for an increase will militate against retroactive support.  There is a balancing here; a child should not be punished for a poor choice of the parent.
Was there blameworthy conduct on the part of the payor?
This is interpreted broadly; anything that privileges the payor's interests over his/her children's right to an appropriate amount of support.
Could the payor have reasonably believed that they were discharging their support obligations?
The more significant a change in income, the more likely a court will find a payor's behaviour blameworthy if they do not proactively disclose.
Need of child/benefit: would the child benefit from retroactive award based on their needs/circumstances?
If a child's needs are being met by the current support, this will militate against a retroactive award.
Would a retroactive award cause hardship to payor?
This is a distinct element from the
s. 10
undue hardship test.
Alternative payment arrangements, such as paying a sum over a period of time, should be considered.
Any voluntary, intentional choice not to apply for an increase will militate against retroactive support.  There is a balancing here; a child should not be punished for a poor choice of the parent.
This is interpreted broadly; anything that privileges the payor's interests over his/her children's right to an appropriate amount of support.
Could the payor have reasonably believed that they were discharging their support obligations?
The more significant a change in income, the more likely a court will find a payor's behaviour blameworthy if they do not proactively disclose.
If a child's needs are being met by the current support, this will militate against a retroactive award.
This is a distinct element from the
s. 10
undue hardship test.
Alternative payment arrangements, such as paying a sum over a period of time, should be considered.
Turning to how far back retroactive payments should go, it turns on the conduct of the parents.  If there was no blameworthy behaviour, the retroactivity should go to when the custodial parent informs the payor that they are seeking additional support.  Generally there will be a limit of 3 years.  For blameworthy parents, the retroactivity should continue to when the support should have changed and did not, without limit.
As to the amount of a retroactive payment, the court should follow the
Guidelines
, but the court has broad discretion to craft a remedy that would be fair having regard to all the circumstances, including hardship on the payor.
Applying this to the cases...
This was an initial application for child support.  The parents had a shared custody arrangement that thought that meant no child support was payable (see
Contino v Leonelli-Contino
).  The incomes of the parents were relatively equal and due to the shared custody any money going to one household would simply be removed from the other.  Due to the lack of blameworthy conduct and the lack of benefit to the children, no retroactive support was awarded.
The father from whom support was being sought was low income (~$23,000/year) and he was supporting a second family.  Any retroactive award would cause his household hardship.  The access costs for him were also high.  Because of the lack of blameworthy conduct, the hardship a retroactive award would cause, and the fact that the standard of living in the custodial household was higher, no retroactive support was awarded.
In this case, the mother had broached the subject with the father but could not afford a lawyer to fight the case.  She was intimidated by her ex-husband and did not know much about his financial situation as he lived in another city.  The husband had had a huge income increase and held it from her, as well as saying that she should have managed her money better to better provide for their kids and that he was paying all he could afford.  Due to the large amount of blameworthy conduct and the large discrepancy in the amount he was paying and the table amount, the court awarded $100,000 in retroactive support.
As in
Henry
, the parties had very different incomes; the father earned more than $100,000K/year, much more than the mother, and he gave no financial support when the need arose.  The mother said she had not wanted to litigate because of the effect it had had on her daughter the last time they litigated.  The court held that the delay of mother was not unreasonable, and the father had no reasonable grounds on which to believe the level of support he was paying was reasonable, and thus the award granted at trial was upheld.
Abella, dissenting in part, had three issues with the decision of Bastarache.
The presumptive starting date of effective notice: the payor has the information on when their income changes, so it is impractical and unrealistic to expect the recipient to keep tabs on the payor’s income; the date should be when the income changes.
The role of blameworthy conduct: the conduct of the payor should be immaterial; the whole obligation depends on the income increase, conduct of the parties is irrelevant.
The three year cutoff: Abella finds this arbitrary - any cutoff of this type should be found in statute, not created by the courts.
ratio: Retroactive child support orders should no longer be rare or difficult to obtain.
Established the framework for assessing claims where there is a large, undisclosed swing in income.
Can the payor say that they reasonably believed they were discharging their child support obligation?
Children are entitled to support from both parents commensurate with their ability to pay.
Can the payor say that they reasonably believed they were discharging their child support obligation?
This case is sometimes referred to as the ""don't-ask-don't-tell"" case, as the
Federal Child Support Guidelines
do not require payors to update their income information each year, merely that the paying parent make disclosure at least once a year upon request of recipient parent (
s. 25
).",8,10,9,0
GEMINI.gemini-1.5-flash,O'Grady v Sparling,I don't know ,"facts: O'Grady was charged under s. 55(1) of the Manitoba
Highway Traffic Act
(now
s. 188
) which prohibited driving ""on a highway without due care and attention or without reasonable consideration for other persons using the highway"". The defendant challenged the law, claiming that it was beyond the power of the province because the federal government had ""occupied the field"" with a similar criminal provision in ss. 191/221 (now
s. 219
) of the
Criminal Code
, which prohibited driving with ""wanton or reckless disregard for the lives or safety of other persons"".  O'Grady was convicted at trial and an appeal to the Court of Appeal for Manitoba was dismissed.
issue: Are provincial laws relating to negligence with penal consequences criminal law and therefore
ultra vires
the province?
decision: Appeal dismissed.
reasons: Judson, writing for the majority, held that ""the power of a provincial legislature to enact legislation for the regulation of highway traffic is undoubted"".  He reaffirmed the principle that there exists a ""general area"" or ""domain"" of criminal law and the two governments can make law on the same matter by creating a distinction between the types of culpability.  He quotes from Kenny's Outlines of Criminal Law:
There are only two states of mind which constitute
mens rea
, and they are intention and recklessness. The difference between recklessness and negligence is the difference between advertence and inadvertence; they are opposed and it is a logical fallacy to suggest that recklessness is a degree of negligence. The common habit of lawyers to qualify the word ""negligence"" with some moral epithet such as ""wicked"", ""gross"", or ""culpable"" has been most unfortunate since it has inevitably led to great confusion of thought and of principle. It is equally misleading to speak of criminal negligence since this is merely to use an expression to explain itself.
On the facts, Judson found that there was overlap between the laws however ""there is no conflict between these provisions in the sense that they are repugnant"". The provincial law extended to include ""inadvertent negligence"" as well as regular negligence. It was enough that “the two pieces of legislation differed both in legislative purpose and legal and practical effect” to justify both of them.
ratio: The distinction between recklessness and negligence is the difference between advertence and inadvertence; recklessness is when an actor does not desire harmful consequences but forsees the possibility and consciously takes the risk.
There must be an operational incompatibility between federal and provincial law to invoke paramountcy.",1,10,10,1
GEMINI.gemini-1.5-flash,Canada (Attorney General) v Mossup,"```json {""facts"": ""The accused was charged with impaired driving causing bodily harm.  He was breathalyzed and provided samples that were below the legal limit. However, the Crown argued that the roadside screening device used was not properly calibrated, and therefore the results were inadmissible. The trial judge agreed and convicted the accused based on other evidence."", ""ratio"": ""The admissibility of evidence obtained using a roadside screening device depends on its proper calibration. If not properly calibrated, the results are inadmissible.  However, a conviction may still be possible on other evidence."", ""decision"": ""The Court of Appeal allowed the appeal and acquitted the accused. The Court found that the only evidence of impairment beyond reasonable doubt was the unreliable breathalyzer test.  The remaining evidence was insufficient for a conviction.""} ``` ","facts: Mossop is a gay man, and his partner's father died.  He applied to take bereavement leave from his job to go to the funeral, but is denied because his partner is neither a ""spouse"" nor a ""common law partner"" as they are both required to be of the opposite sex.  He makes a claim to the Canadian Human Rights Commission, but refuses to argue sexual orientation as a ground, and instead will only argue family status, stating that all matters to do with homosexuals are not about sexual orientation by definition.  The case was dismissed in the lower courts.
issue: Can a homosexual man claim discrimination against ""family status"" with his partner under
s.3 of the
Canadian Human Rights Act
?
decision: Appeal dismissed..
reasons: The court is upset with the appellant who refused to deal with the claim on the ground of sexual orientation, which was new at the time.  However, Mossop sticks with family status.  The majority says that you cannot interpret ""family status"" to include Mossop’s situation unless you also discuss the ground of sexual orientation, and as Mossop refuses to do so he cannot be successful.
La Forest
concurs, but instead looks to the definitions in the Act and tries to figure out what the government meant to protect under ""family status"".  He determines that this specific field was not intended to be covered.
In the dissent,
L'Heureux-Dubé
says that ""family status"" should have a very broad interpretation.  She looks to the broader social context of limiting it as the majority does, and further that by looking at the plain meaning given in the statute you are really just taking the majority's opinion of the definition, which is exactly what you try to avoid in human rights issues.  She also suggests that when there are overlapping grounds, you should select the one that will succeed and proceed with that one.
ratio: Only identified grounds can be pursued in a human rights claim.
Definitions in human rights legislation are generally interpreted broadly, but the definition given by Parliament in the statute has a good deal of authority in the court's decision on what falls under the definition and what does not.",1,1,1,1
GEMINI.gemini-1.5-flash,British Columbia (Superintendent of Motor Vehicles) v British Columbia (Council of Human Rights) (Re Grismer Estate),"```json {   ""facts"": ""Grismer, a quadriplegic, was denied a driver's license by the Superintendent of Motor Vehicles.  The Council of Human Rights found this discriminatory under the Code, and ordered the Superintendent to issue Grismer a license. The Superintendent appealed."",   ""ratio"": ""The Court held that the Superintendent's refusal to issue a license was discriminatory under the Code, as it failed to accommodate Grismer's disability.  The focus was on whether reasonable accommodation was possible, not whether Grismer met the standard driving test."",   ""decision"": ""Appeal dismissed. The Superintendent was ordered to consider issuing Grismer a license, taking into account reasonable accommodation for his disability."" } ``` ","facts: The Government of British Columbia had a policy stating that it would not issue licenses to people suffering from a condition (homonymous hemianopsia (HH)) which affected eyesight.  The claimant had this condition but had driven flawlessly at work and on public roads using ""prism glasses"".  Despite this he was refused individual assessment and was not allowed to receive a license and was therefore unable to complete his job.  The British Columbia Human Rights Tribunal allowed Grismer to be individually tested.  Grismer died shortly after this decision.  This was upheld by the British Columbia Supreme Court but overruled by the Court of Appeal.
issue: Does an absolute prohibition on licensing people with a visual impairment without the possibility of individual assessment constitute discrimination?
decision: Appeal allowed, standard disallowed.
reasons: The court applies the
Meiorin
test, showing that it can be used in scenarios outside of the workplace to determine if discrimination is justified.  This case passes the first part because the purpose of the standard (reasonable safety) is rationally connected to the function (issuing drivers’ licenses).  It also passes the second step because there is no evidence that the standard (no licenses for HH sufferers) was adopted for any reasons other than road safety.  However the case fails the third step as the court finds that the standard (no licenses for HH) is not reasonably necessary for the purpose (reasonable safety).  The blanket prohibition doesn't let people even attempt to show that they can drive safely.
It is clear here that the accommodation would be to allow testing.  In order to succeed the government would have had to prove that to allow testing would result to undue hardship which they failed to do.  Although there are clearly safety and cost concerns involved with testing, the government didn't put in any effort to determine these values, nor did they even look for alternative ways of testing.  The court also says that in general, with the government, costs must be exorbitant to amount to undue hardship, as they are publicly funded and this would be seen as being in the public interest.  As the standard is not rationally necessary for the purpose of reasonable road safety, it amounts to discrimination and must be removed.
ratio: The
Meiorin
test applies to all standards that are thought to be discriminatory, even if they do not occur in a workplace; called bona fide justification tests.
The government will be held to a very high threshold when claiming that the costs of not adopting a standard amount to undue hardship as they are publicly funded and preventing discrimination is in the public interest.",3,7,2,0
GEMINI.gemini-1.5-flash,Just v British Columbia,"```json {""facts"": ""The appellants, members of the Gitksan and Wet'suwet'en Nations, claimed aboriginal title to a large territory in British Columbia.  The trial judge found that the appellants had established aboriginal title to a smaller area than claimed, but the BC Court of Appeal overturned the decision, finding that aboriginal title had not been established."", ""ratio"": ""To establish aboriginal title, Indigenous groups must demonstrate a) occupancy of the claimed territory at the time of sovereignty; b) continuity between pre-sovereignty and post-sovereignty occupancy; and c) exclusivity of occupancy.  The Court considered the evidence regarding occupation, continuity, and exclusivity in the context of the specific claims.  The Court also clarified the requirements for establishing aboriginal title, emphasizing the need for clear and convincing evidence of occupancy."", ""decision"": ""The Supreme Court of Canada dismissed the appeal.  It held that the appellants had not proven they possessed aboriginal title to the claimed territory.  The Court confirmed the high standard of proof required to establish aboriginal title and that the evidence provided did not meet this standard.""} ``` ","facts: Heavy snow fall forced Just and his daughter to stop in a line of traffic by a rocky slope on a major highway.  A boulder, which worked loose from the wooded slopes above the highway, came crashing down on the appellant's car, killing the appellant's daughter and causing him very serious injuries.  Just brought an action against the provincial government contending that the government negligently failed to properly maintain the highway.
The Department of Highways had set up a system for inspection and remedial work upon rock slopes.  Inspection and recommendations were made by engineers and the work was effected by a rock scaling crew responsible for performing remedial work throughout the entire province.  The department's practice had been to make visual inspections from the highway unless rock falls or a history of instability in an area indicated a need for the rock engineer to climb the slope.  Numerous informal inspections were carried out by highway personnel as they drove along the road.
The trial judge found that the entire system of inspection and the way it was implemented was a policy matter which did not give rise to liability. No finding was made as to whether or not the system of inspection was reasonable or whether the inspections themselves were properly carried out. The Court of Appeal upheld the finding of the trial judge and Just appealled to the Supreme Court.
issue: Is the government under a duty of care to maintain the highways and if so, are they liable if the highways are not sufficiently maintained?
decision: Appeal allowed, new trial ordered.
reasons: Cory, writing for the majority, held that the province owes a duty of care, which ordinarily extends to their reasonable maintenance, to those using its highways.  The Department of Highways could readily foresee the risk that harm might befall users of a highway if it were not reasonably maintained.  That maintenance could be found to extend to the prevention of injury from falling rock.
Government agencies may be exempt from the application of the traditional tort law duty of care if an explicit statutory exemption exists or if the decision arose as a result of a policy decision.  Whether or not a decision is characterized as a policy decision or as an operational decision rests on the nature of the decision and not on the identity of the actors.  Generally, decisions concerning budgetary allotments for departments or government agencies should be classified as policy decisions.  A policy decision may be open to challenge on the basis that it is not made in the bona fide exercise of discretion.  If after due consideration it is found that a duty of care is owed by the government agency and no exemption by way of statute or policy decision-making is found to exist, a traditional torts analysis ensues (as per
Anns v Merton London Borough Council
) and the issue of standard of care required of the government agency must next be considered.  The manner and quality of an inspection system, since it was clearly part of the operational aspect of a governmental activity, should be assessed when consideration is given to the standard of care issue.  At this stage, the requisite standard of care must be assessed in light of all the surrounding circumstances including budgetary restraints and the availability of qualified personnel and equipment.
Sopinka, in the dissent, held that the government had the power to carry out the inspections but was under no duty to do so.  Conduct within the limits of this discretion gives rise to no duty of care; conduct outside of these limits may attract a private law duty of care.
A litigant may not attack a policy and it is not appropriate for a Court to pass on it, absent evidence that a policy was adopted for some ulterior motive and not for a municipal purpose.  In order for a private duty to arise, it would have to be shown that the Rockwork Section acted outside its delegated discretion to determine whether to inspect and the manner in which the inspection is to be made.  Policy decisions are immune from review because they usually entail not only a decision to do something but also some call upon the public purse.  The government was acting within its discretion when it decided that inspections should be done and the manner in which they were to be done.  Responsibility for deciding the extent to which the inspection program was to be implemented was delegated to the Rockwork Section.
ratio: The duty of care should apply to a public authority unless there is a valid basis for its exclusion.
Policy decisions – the decision by the government about what acts to perform under a given statute – are exempt from liability; operational decisions – the decision by the government about how to perform those acts once they have been decided - are not exempt from liability.",6,9,8,0
GEMINI.gemini-1.5-flash,Machtinger v HOJ Industries Ltd.,"```json {   ""facts"": ""Machtinger and other employees were terminated without cause.  Their employment contracts lacked termination clauses specifying the required notice period or pay in lieu thereof.  The employer argued that reasonable notice was all that was required."",   ""ratio"": ""An employer is bound by the reasonable notice period implied in the employment contract, unless a termination clause expressly states otherwise.  The lack of an express termination clause does not mean that the employer can terminate without providing reasonable notice.  Reasonable notice is implied into every employment contract unless expressly excluded."",   ""decision"": ""The Supreme Court of Canada held that the employer was liable for wrongful dismissal and had to pay damages based on the reasonable notice period implied in the contract."" } ``` ","facts: Both appellants began working for HOJ Industries, a car dealer, in 1978, and were discharged in 1985 without cause.  At the time they were dismissed Machtinger was credit manager and rust‑proofing sales manager and Lefebvre was sales manager.  Each had entered into a contract for employment for an indefinite period which contained a clause allowing the respondent to terminate his employment without cause, in Machtinger's case without notice and in Lefebvre's case on two weeks' notice.  Under the provincial
Employment Standards Act
the appellants were entitled to a minimum notice period of four weeks.  After they were dismissed, the respondent paid each of them the equivalent of four weeks' salary.  The appellants brought action for wrongful dismissal and the trial judge found that they were entitled to reasonable notice of termination, and that the period of reasonable notice for Machtinger was 7 months and for Lefebvre, 7½ months, however this was overturned by the Court of Appeal.
issue: What should the notice period be in order to terminate employment if notice required in employment contract violates legislated standards?
decision: Appeal allowed, lower court judgment restored.
reasons: McLachlin, writing a concurring judgment, examined the legal principles governing the implication of terms.  She identifies three types of implied terms:
terms implied by fact (intention required);
terms implied by law (no intention required); and
terms implied by custom and usage,
and identifies #2 as the type the courts will read into a contract.  Implication of law can be from custom, for business efficiency (what is necessary in a contract), or what is reasonable (from Denning's dissent in
Liverpool City Council v Irwin
).
She finds that the Court of Appeal erred in characterizing a term implied in law as a term implied in fact, which brought in the intentionality of the parties.  Holding that the employer had a legal obligation to provide reasonable notice and that this can only be displaced by an express contrary agreement, the court imposed a reasonable term of notification on HOJ; HOJ industries.
ratio: Terms can be implied by the court based on:
custom or usage;
if necessary for business efficacy;
legal incidents of a particular class of contract.",7,8,9,0
GEMINI.gemini-1.5-flash,Homex Realty and Development Co. Ltd. v Wyoming (Village),"```json {""facts"": ""Homex Realty and Development Co. Ltd. applied for a zoning amendment to permit the construction of a high-density residential development in the Village of Wyoming.  The application was denied by the Village council. Homex appealed the decision."", ""ratio"": ""The court reviewed the Village's decision to determine if it was reasonable and justified in the context of the planning and zoning legislation. The court considered whether the denial was based on valid planning considerations or arbitrary and capricious factors."", ""decision"": ""The court quashed the Village's decision, finding that the denial was unreasonable and not based on valid planning principles. The court ordered the Village to reconsider the application.""} ``` ","facts: As a condition of registration of a plan of subdivision in the Village of Wyoming, Atkinson, the owner and subdivider of the parcel of land, entered into an agreement with the Village for the installation of municipal services in the subdivision. This agreement, dated January 22, 1968, and registered September 26, 1975, provided in a general way for the owner's providing ""all the requirements financial and otherwise, of the Corporation re surfacing of roads, installation of services and drainage"". The agreement also prevented the sale of the lands in question until the agreement had been fully carried out, except with the consent of the Village, but the provision did not provide that consent would operate to release Atkinson from his obligation to the Village. Before any services were installed, Homex bought the great majority of the lots on the subdivision with the Village's consent. There was some question as to whether or not Homex had undertaken to assume the obligations of the original subdivider. Nevertheless, when protracted negotiations between the Village and Homex concerning the installation of services proved fruitless, the Village, in April 1976, pursuant to s. 29(3) (now
s. 50(3)
) of the
Planning Act
and without notice to Homex, enacted by-law 7 deeming the lots purchased by Homex not to be a registered plan of subdivision. Homex, in September 1976, made application for judicial review for an order quashing by-law 7 and, while the application was pending, checkerboarded its lots.
In November 1975, Homex and the Village negotiated the installation of services along the only street requiring them. By-law 6, enacted in December 1975, provided that it was the policy of the Village that it would neither assume responsibility for a water pipeline constructed by Homex nor permit its connection to the municipal water supply system. Homex coupled an application in judicial review to quash by-law 6 with the application for an order to quash by-law 7.
issue: What qualifies as a ""legislative"" decision such that no duty of procedural fairness applies?
decision: Appeal dismissed.
reasons: Estey, writing for the majority, held that while the passage of By-law 7 had some characteristics of a community interest, it was also clearly the culmination of the dispute between the village and Homex.  As a result he found that the decision was quasi-judicial such as to attract the principle of notice and the doctrine of
audi alteram partem
.  Despite this, however, he held that the conduct of Homex to rid itself of the obligations under the agreement with Atkinson were such that it should be denied a discretionary remedy.  There was also no basis to challenge By-law 6 as it simply stated the facts of the agreement with Atkinson.
Dickson, in the dissent, is quoted:
The courts long ago developed the general proposition that wherever a statute authorizes the interference with property or other rights and is silent as to whether or not the agency in question is required to give notice prior to the intervention in such rights, the courts will ""supply the omission of the legislature"" and require the agency in question to afford the subject an opportunity of being heard before it proceeds.
He held that an act could not be labelled ""legislative"" merely for the purpose of dispensing with fairness. It was not particularly important that the function of the municipality was classified as ""legislative"" or ""quasi-judicial"", rather, it was necessary to look at the nature of the function and to the facts of each case. The by-law in question was not of wide and general application, but was rather aimed at deliberately limiting the rights of Homex, entitling it to some procedural safeguards - at a minimum, notice of the proposed by-law and the opportunity to be heard.
ratio: In general, the courts have not imposed procedural requirements on the subordinate law-making function.
The facts of each case are key to determining the level of procedural fairness required.",1,1,1,1
